data;descricao;entrada;saida;saldo;;;
05/09/2022 00:00;Venda cliente P - produto Z;1420000;0;3720000;;;
05/09/2022 00:00;Pagamento aluguel;0;480000;3240000;;;
10/09/2022 00:00;Salários equipe + bonus;0;2250000;990000;;;
15/09/2022 00:00;Venda sazonal - retorno férias;2980000;0;3970000;;;
20/09/2022 00:00;Treinamento equipe;0;650000;3320000;;;
28/09/2022 00:00;Recebimento cliente F - atraso 45d;1120000;0;4440000;;;
05/10/2022 00:00;Venda cliente Q - serviço X;890000;0;5330000;;;
05/10/2022 00:00;Pagamento aluguel + IPTU;0;620000;4710000;;;
10/10/2022 00:00;Salários equipe;0;1980000;2730000;;;
15/10/2022 00:00;Venda cliente R - contrato semestral;3800000;0;6530000;;;
22/10/2022 00:00;Pagamento impostos trimestrais;0;1450000;5080000;;;
05/11/2022 00:00;Venda cliente S - produto Y;1260000;0;6340000;;;
05/11/2022 00:00;Pagamento aluguel;0;620000;5720000;;;
10/11/2022 00:00;Salários equipe;0;1980000;3740000;;;
15/11/2022 00:00;Venda sazonal - black friday;5420000;0;9160000;;;
20/11/2022 00:00;Investimento em estoque;0;2850000;6310000;;;
25/11/2022 00:00;Recebimento cliente G - atraso 30d;870000;0;7180000;;;
05/12/2022 00:00;Venda cliente T - serviço premium;1750000;0;8930000;;;
05/12/2022 00:00;Pagamento aluguel;0;620000;8310000;;;
10/12/2022 00:00;Salários equipe + 13o;0;3960000;4350000;;;
15/12/2022 00:00;Venda sazonal - natal;4870000;0;9220000;;;
18/12/2022 00:00;Pagamento fornecedores + bonus;0;3250000;5970000;;;
28/12/2022 00:00;Recebimento cliente H - atraso 60d;1050000;0;7020000;;;
05/01/2023 00:00;Venda cliente U - produto X;1320000;0;8340000;;;
05/01/2023 00:00;Pagamento aluguel + reajuste;0;680000;7660000;;;
10/01/2023 00:00;Salários equipe;0;1980000;5680000;;;
15/01/2023 00:00;Venda cliente V - pacote anual;4120000;0;9800000;;;
20/01/2023 00:00;Compra equipamentos novos;0;4280000;5520000;;;
25/01/2023 00:00;Recebimento cliente I - atraso 45d;1320000;0;6840000;;;
05/02/2023 00:00;Venda cliente W - serviço Y;950000;0;7790000;;;
05/02/2023 00:00;Pagamento aluguel;0;680000;7110000;;;
10/02/2023 00:00;Salários equipe;0;1980000;5130000;;;
15/02/2023 00:00;Venda cliente X - contrato corporativo;3560000;0;8690000;;;
22/02/2023 00:00;Pagamento licenças anuais;0;1250000;7440000;;;
05/03/2023 00:00;Venda cliente Y - produto Z;1420000;0;8860000;;;
05/03/2023 00:00;Pagamento aluguel;0;680000;8180000;;;
10/03/2023 00:00;Salários equipe + benefícios;0;2150000;6030000;;;
15/03/2023 00:00;Venda sazonal - dia das mães;3280000;0;9310000;;;
20/03/2023 00:00;Campanha marketing digital;0;1850000;7460000;;;
28/03/2023 00:00;Recebimento cliente J - atraso 30d;4500000;0;11960000;;;
05/04/2023 00:00;Venda cliente Z - serviço X;880000;0;12840000;;;
05/04/2023 00:00;Pagamento aluguel + IPTU;0;750000;12090000;;;
10/04/2023 00:00;Salários equipe;0;1980000;10110000;;;
15/04/2023 00:00;Venda cliente A - renovação contrato;2870000;0;12980000;;;
22/04/2023 00:00;Pagamento impostos trimestrais;0;1870000;11110000;;;
05/05/2023 00:00;Venda cliente B - produto W;1250000;0;12360000;;;
05/05/2023 00:00;Pagamento aluguel;0;750000;11610000;;;
10/05/2023 00:00;Salários equipe;0;1980000;9630000;;;
15/05/2023 00:00;Venda cliente C - pacote especial;3650000;0;13280000;;;
20/05/2023 00:00;Manutenção predial;0;1250000;12030000;;;
25/05/2023 00:00;Recebimento cliente K - atraso 60d;950000;0;12980000;;;
05/06/2023 00:00;Venda cliente D - serviço Z;1120000;0;14100000;;;
05/06/2023 00:00;Pagamento aluguel;0;750000;13350000;;;
10/06/2023 00:00;Salários equipe + bonus;0;2250000;11100000;;;
15/06/2023 00:00;Venda sazonal - dia dos namorados;4120000;0;15220000;;;
20/06/2023 00:00;Investimento em infraestrutura;0;3250000;11970000;;;
28/06/2023 00:00;Recebimento cliente L - atraso 45d;760000;0;12730000;;;
